transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-áš-šá-ir-ki-me,achE,,aas~s~airkime,3,,scribal error,"d.ma-šá-ir-ki, a-áš-šá-ir-ki-na-ma, a-áš-šá-ir-ki-um-na, a-áš-šá-ir-na",,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">áš</font>-<font color=""#c30000"">šá</font>-ir-<font color=""#690000"">ki</font>-<font color=""#9b0000"">me</font></qt>",,
a-ha-h,mE,,ahah,1,,scribal error,pa-ha-h,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>-<font color=""#d50000"">h</font></qt>",,
ak-ku-um-ya,mE,,akkuumya,1,,scribal error,ma-ak-ku-um-ya,Sg.,1st,"<qt><font color=""#690000"">ak</font>-<font color=""#d50000"">ku</font>-<font color=""#690000"">um</font>-<font color=""#9b0000"">ya</font></qt>",,
d.an-na-ma-kaš-iš,achE,Ānāmaka-š,annamakas~is~,1,ānāmakaš,scribal error,"d.an-na-ma-ak-qa, d.ha-na-ma-ak-kaš",Sg.,1st,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">an</font>-na-<font color=""#b40000"">ma</font>-<font color=""#de0000"">kaš</font>-iš</qt>",month,
ANŠE.RU.lg,,,ans~eru,1,,scribal error,pa-ru.lg,,,"<qt>ANŠE.<font color=""#b40000"">RU</font>.<font color=""#690000"">lg</font></qt>",,
ut-ru-šá,achE,,utrus~a,,,scribal error,mi-ut-ru-šá,,,"<qt><font color=""#d50000"">ut</font>-<font color=""#b40000"">ru</font>-<font color=""#c30000"">šá</font></qt>",,
d.ba-gi-ya-iš,achE,bāgayāδiš,bagiyais~,,bāgayāδiš,scribal error,d.ba-gi-ya-ti-iš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">gi</font>-ya-iš</qt>",,
hh.ba-ir-taš-be,achE,Persian-š-PL,bairtas~be,,pārsa,scribal error,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ba</font>-ir-<font color=""#b40000"">taš</font>-<font color=""#de0000"">be</font></qt>",,
[hh.b]a-qa-áš-ba-du,achE,Bagaspāda,baqaas~badu,1,,scribal error,hh.ba-qa-áš-ba-du,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ba</font>-<font color=""#b40000"">qa</font>-<font color=""#9b0000"">áš</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">du</font></qt>",,
pa-ri-ráš-da,achE,go-3PL-da,bariras~da,1,,scribal error,pa-ráš-da,,3rd Anim.,"<qt><font color=""#690000"">pa</font>-<font color=""#9b0000"">ri</font>-<font color=""#b40000"">ráš</font>-<font color=""#9b0000"">da</font></qt>",,-da
pír-qa-ik,achE,go-PASS.PTCP+?,birqaik,1,,scribal error,2.pír-qa,,,,,
za-mi-ma,achE,,zamima,,,scribal error,d.sa-mi-ya-maš,,,"<qt><font color=""#690000"">za</font>-mi-<font color=""#b40000"">ma</font></qt>",,
tal-li-li-iš,,write-3SG,dalliliis~,1,,scribal error,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">tal</font>-li-li-iš</qt>",,
tam5-šá-an,achE,δauça,dam5s~aan,1,ðauça,scribal error,h.tam5-šá-am,,,"<qt><font color=""#e10000"">tam<sub><small>5</small></sub></font>-<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font></qt>",,
hh.da-ri-ya-ya-ib-ba,achE,,dariyayaibba,1,,scribal error,hh.da-ri-ya-ib-ba,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ya</font>-<font color=""#9b0000"">ya</font>-<font color=""#690000"">ib</font>-<font color=""#9b0000"">ba</font></qt>",man,
nu-uš-gi-ma-qa,mE,,nuus~gimaqa,,,scribal error,nu-up-gi-ma-qa,,,"<qt>nu-uš-<font color=""#9b0000"">gi</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
kak-la-qa-qa,nE,kakla-ka,gaklaqaqa,1,,scribal error,kak-la-qa,,,"<qt><font color=""#b40000"">kak</font>-la-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
d.qa-ma-ba-da-iš,achE,garmapadaš,gamabadais~,,garmapadaš,scribal error,d.kar-ma-ba-taš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ba</font>-<font color=""#9b0000"">da</font>-iš</qt>",,
d.qa-ra-ba-zí-iš,achE,Xārapašya-š,garabaziis~,1,xārapašya,scribal error,d.qa-ir-ba-ši-ya-iš,,,,,
d.kar-ir?-ba-ši-ya-iš,achE,Xārapašya-š,garirbas~iyais~,1,xārapašya,scribal error,d.qa-ir-ba-ši-ya-iš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">kar</font>-ir-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font>-iš</qt>",,
h.kar-taš,nE,,gartas~,,,scribal error,h.kar-in-taš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">kar</font>-<font color=""#b40000"">taš</font></qt>",man,
ki-te-um-be-ik-ra,PN,ægis-grant-PASS.PTCP-3SG.AGR,giteumbeikra,1,,scribal error,ki-te-en.te-um-be-en-ra,,,"<qt><font color=""#690000"">ki</font>-te-<font color=""#690000"">um</font>-<font color=""#de0000"">be</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">ra</font></qt>",,
ku-iz-da-ti-iš-da,achE,bear-3SG-da,guizdatiis~da,1,,scribal error,,Sg.,3rd Anim.,"<qt><font color=""#d50000"">ku</font>-<font color=""#b40000"">iz</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ti</font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
ku-ur-ta-h,mE,(establish-1SG),guurtah,1,,scribal error,mu-ur-ta-h,,,"<qt><font color=""#d50000"">ku</font>-<font color=""#b40000"">ur</font>-ta-<font color=""#d50000"">h</font></qt>",,
ha-ip-ma,achE,,haipma,1,,scribal error,ha-tu-ma,,,"<qt><font color=""#690000"">ha</font>-<font color=""#690000"">ip</font>-<font color=""#b40000"">ma</font></qt>",,
ha-mar-ra-ra-um,achE,āxvara-m,hamarraraum,,āxvara,scribal error,ha-mar-ra-um,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">mar</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">um</font></qt>",,
d.ha-ši-ti-iš,achE,āçiyādiš,has~itiis~,,āçiyādiš,scribal error,d.ha-ši-ya-ti-iš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ha</font>-<font color=""#c30000"">ši</font>-<font color=""#690000"">ti</font>-iš</qt>",,
i-ni,achE,,ini,,,scribal error,ya-ni,,,"<qt><font color=""#9b0000"">i</font>-<font color=""#c30000"">ni</font></qt>",,
in-ti-ti-ik,mE,,intitiik,,,scribal error,in-ti-ik-ka,,,"<qt>in-<font color=""#690000"">ti</font>-<font color=""#690000"">ti</font>-<font color=""#c30000"">ik</font></qt>",,
GIŠ.ir-ba,achE,rdβa,irba,,,scribal error,GIŠ.ir-ti-ba,,,"<qt><font color=""#b40000"">GIŠ</font>.ir-<font color=""#9b0000"">ba</font></qt>",,
ir-ip,achE,,irip,,,scribal error,ir-pi,,,"<qt>ir-<font color=""#690000"">ip</font></qt>",,
GIŠ.iš,achE,,is~,,,scribal error,GIŠ.Ì.lg,,,"<qt><font color=""#b40000"">GIŠ</font>.iš</qt>",,
[ma]-da-ad-da-ak,achE,mādaka,madaaddaak,,mādaka,scribal error,ma-da-ak,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ak</font></qt>",,
d.man-qa-na-áš,achE,viyaxana-š,manqanaas~,,viyaxana,scribal error,d.mi-qa-na-áš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">man</font>-<font color=""#9b0000"">ka<small>4</small></font>-na-<font color=""#9b0000"">áš</font></qt>",,
mi-ba-šá-na,,,mibas~ana,,,scribal error,mi-iš-ba-šá-na,,,"<qt>mi-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">šá</font>-na</qt>",,
d.mi-kán-na-iš-me-man-na,achE,viyaxana,mikannais~memanna,1,viyaxana,scribal error,d.mi-kán-na-iš.me-šá-na,,,"<qt><font color=""#c30000"">d</font>.mi-<font color=""#690000"">kán</font>-na-iš-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font>-na</qt>",,
mi-ni,achE,,mini,,,scribal error,in-ni,,,"<qt>mi-<font color=""#c30000"">ni</font></qt>",,
mi-ši-ir-ma,mE,ruin,mis~iirma,1,,scribal error,mi-ši-ir-ma-na,,,"<qt>mi-<font color=""#c30000"">ši</font>-ir-<font color=""#b40000"">ma</font></qt>",,
mu-ši-nu,achE,,mus~inu,,,scribal error,mu-ši-in,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">ši</font>-nu</qt>",,
mu-tar.lg,achE,,mutar,,,scribal error,tar-mu.lg,,,"<qt><font color=""#690000"">mu</font>-<font color=""#c30000"">tar</font>.<font color=""#690000"">lg</font></qt>",,
na-an-na-be,achE,,naannabe,,,scribal error,na-an-be,,,"<qt>na-<font color=""#c30000"">an</font>-na-<font color=""#de0000"">be</font></qt>",,
na-an-ra-da,achE,naranda,naanrada,,,scribal error,na-ra-an-da,,,"<qt>na-<font color=""#c30000"">an</font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">da</font></qt>",,
d.ni-qa-na-iš,achE,Viyaxana-š,niqanais~,1,viyaxana,scribal error,d.mi-ya-qa-na-iš,Sg.,3rd Anim.,,,
nu-up-gi-ma-qa,mE,,nuupgimaqa,,,scribal error,nu-uš-gi-ma-qa,,,"<qt>nu-<font color=""#690000"">up</font>-<font color=""#9b0000"">gi</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
sa-a-kur-da-iš,achE,,saakurdais~,,,scribal error,sa-a-kur-zí-iš,,,"<qt><font color=""#690000"">sa</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">kur</font>-<font color=""#9b0000"">da</font>-iš</qt>",,
d.sa-a-kur-ri-iš,achE,,saakurriis~,,,scribal error,d.sa-a-kur-ri-zí-iš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">kur</font>-<font color=""#9b0000"">ri</font>-iš</qt>",,
sa-me?-ma-ra?,achE,ϑvayaxvā,samemara,,,scribal error,sa-me-man-taš,,,"<qt><font color=""#690000"">sa</font>-<font color=""#9b0000"">me</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">ra</font></qt>",month,
hh.sa-ra-zí-iš,,,saraziis~,,,scribal error,hh.sa-ra-ku-zí-iš,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">zí</font>-iš</qt>",,
sa-ti-ú-qa,achE,,satiuqa,,,scribal error,sa-ti-ú-ut,Pl.,1st,"<qt><font color=""#690000"">sa</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ú</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
si-a.ku-uk,mE,,siakuuk,1,,scribal error,"si-a-an.ku-uk, si-a-na",,,"<qt><font color=""#690000"">si</font>-<font color=""#690000"">a</font>.<font color=""#d50000"">ku</font>-<font color=""#9b0000"">uk</font></qt>",,
SI.KAK.lg,achE,,sikak,,,scribal error,ŠI.KAK.lg,,,"<qt><font color=""#00ff00"">SI</font>.<font color=""#00ff00"">KAK</font>.<font color=""#690000"">lg</font></qt>",,
GIŠ.si-qa.ku-ti-ra,achE,,siqakutira,,,scribal error,GIŠ.ŠI.DÙ.lg.ku-ti-ra,,,"<qt><font color=""#b40000"">GIŠ</font>.<font color=""#690000"">si</font>-<font color=""#9b0000"">ka<small>4</small></font>.<font color=""#d50000"">ku</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ra</font></qt>",,
su-un-ti-na,nE,,suuntina,,,scribal error,šu-un-ti-na,,,"<qt><font color=""#690000"">su</font>-<font color=""#b40000"">un</font>-<font color=""#690000"">ti</font>-na</qt>",,
šá-ak-lu-ip,achE,,s~aakluip,1,,scribal error,šá-lu-ip,,,"<qt><font color=""#c30000"">šá</font>-<font color=""#690000"">ak</font>-<font color=""#690000"">lu</font>-<font color=""#690000"">ip</font></qt>",,
hh.šá-at-ra-ma-ba,achE,,s~aatramaba,,,scribal error,hh.šá-at-ra-ba-ma,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">at</font>-<font color=""#690000"">ra</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ba</font></qt>",,
2.šà-mi,,,s~ami,,,scribal error,šà-ma,,,"<qt><font color=""#b40000"">šà</font>-mi</qt>",,
d.šá-mi-u-[maš],achE,ϑvayaxvā-š,s~amiumas~,,ϑvayaxvā,scribal error,"d.sa-mi-ú-maš, d.sa-mi-ya-maš",,,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">šá</font>-mi-<font color=""#9b0000"">u</font>-<font color=""#de0000"">maš</font></qt>",month,
šá-ra-man-ma,achE,under.responsibility,s~aramanma,1,,scribal error,šá-ra-man-na,,,"<qt><font color=""#c30000"">šá</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">man</font>-<font color=""#b40000"">ma</font></qt>",,
šá-ra-man-da,achE,under.responsibility,s~aramanda,1,,scribal error,šá-ra-man-na,,,"<qt><font color=""#c30000"">šá</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">man</font>-<font color=""#9b0000"">da</font></qt>",,
d.še-iš-mi,achE,,s~eis~mi,,,scribal error,d.še-ir-mi,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">še</font>-iš-mi</qt>",,
[hh].šu-ud-da-u-d[a?],achE,,s~uuddauda,,,scribal error,hh.šu-ud-da-ya-u-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">šu</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">u</font>-<font color=""#9b0000"">da</font></qt>",,
šu-ul-lu-en-ga,mE,strive-ACT.PTCP-1SG.AGR,s~uulluenga,,,scribal error,šu-ul-lu-me-en-ga,,,"<qt><font color=""#9b0000"">šu</font>-ul-<font color=""#690000"">lu</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">ga</font></qt>",,
-um-ma-na,achE,'th,ummana,,,scribal error,-um-me-ma-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#b40000"">ma</font>-na</qt>",,
ya-ri-en-tum4-ya,mE,baked.brick-ADJ,yarientumya,1,,scribal error,e-ri-en-tum4-ya,,,"<qt><font color=""#9b0000"">ya</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">en</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>-<font color=""#9b0000"">ya</font></qt>",,
za-áš,achE,,zaas~,,,scribal error,za-áš-maš,,,"<qt><font color=""#690000"">za</font>-<font color=""#9b0000"">áš</font></qt>",,
d.za-pa-ki-um,achE,zaharpakium,zapakium,,,scribal error,d.za-ir-pa-ki-um,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">za</font>-<font color=""#690000"">pa</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">um</font></qt>",month,
zu-ar,mE,bronze(error),zuar,1,,scribal error,zu-ba-ar,,,"<qt><font color=""#690000"">zu</font>-ar</qt>",,
zu-um-ba-h,mE,,zuumbah,1,,scribal error,tu-um-ba-h,,,"<qt><font color=""#690000"">zu</font>-<font color=""#690000"">um</font>-<font color=""#9b0000"">ba</font>-<font color=""#d50000"">h</font></qt>",,
